Time,Yaw_Angle
1773653050.0852413,90.1
1773653050.1856923,90.1
1773653050.2861621,90.1
1773653050.3857772,90.1
1773653050.4860764,90.1
1773653050.5851831,90.1
1773653050.6852272,90.1
1773653050.785432,90.1
1773653050.8862534,90.1
1773653050.9859416,90.1
1773653051.0858586,90.1
1773653051.1860425,90.1
1773653051.2857783,90.1
1773653051.385764,90.1
1773653051.486012,90.1
1773653051.5863776,90.1
1773653051.686315,90.1
1773653051.7853737,90.1
1773653051.885683,90.1
1773653051.9861724,90.1
1773653052.0856445,90.1
1773653052.1860375,90.1
1773653052.2859733,90.1
1773653052.3862565,90.1
1773653052.4859219,90.1
1773653052.5852458,90.1
